"Date","Apple","Google","MSFT","Increase"
"2010-01-04",214.009998,626.750011,30.950001,TRUE
"2010-01-05",214.379993,623.990017,30.959999,TRUE
"2010-01-06",210.969995,608.259974,30.77,FALSE
"2010-01-07",210.58,594.100015,30.450001,FALSE
"2010-01-08",211.980005,602.020005,30.66,TRUE
"2010-01-11",210.110003,601.110027,30.27,FALSE
"2010-01-12",207.720001,590.480042,30.07,FALSE
"2010-01-13",210.650002,587.090003,30.35,TRUE
"2010-01-14",209.43,589.849997,30.959999,FALSE
"2010-01-15",205.93,579.999993,30.860001,FALSE
"2010-01-19",215.039995,587.61999,31.1,TRUE
"2010-01-20",211.73,580.410044,30.59,FALSE
"2010-01-21",208.069996,582.979982,30.01,FALSE
"2010-01-22",197.75,550.009993,28.959999,FALSE
"2010-01-25",203.070002,539.999994,29.32,TRUE
"2010-01-26",205.940001,542.419996,29.5,TRUE
"2010-01-27",207.880005,542.100004,29.67,TRUE
"2010-01-28",199.289995,534.290011,29.16,FALSE
"2010-01-29",192.060003,529.939995,28.18,FALSE
"2010-02-01",194.729998,533.020042,28.41,TRUE
"2010-02-02",195.859997,531.120028,28.459999,TRUE
"2010-02-03",199.229994,540.820035,28.629999,TRUE
"2010-02-04",192.050003,526.780011,27.84,FALSE
"2010-02-05",195.460001,531.290023,28.02,TRUE
"2010-02-08",194.119997,533.470031,27.719999,FALSE
"2010-02-09",196.190004,536.44002,28.01,TRUE
"2010-02-10",195.120007,534.450007,27.99,FALSE
"2010-02-11",198.669994,536.400021,28.120001,TRUE
"2010-02-12",200.379993,533.12004,27.93,TRUE
"2010-02-16",203.399996,541.300023,28.35,TRUE
"2010-02-17",202.550003,538.209976,28.59,FALSE
"2010-02-18",202.929998,543.219976,28.969999,TRUE
"2010-02-19",201.669996,540.759975,28.77,FALSE
"2010-02-22",200.419994,542.799986,28.73,FALSE
"2010-02-23",197.059998,535.069992,28.33,FALSE
"2010-02-24",200.66,531.470019,28.629999,TRUE
"2010-02-25",202.000004,526.43002,28.6,TRUE
"2010-02-26",204.619997,526.800011,28.67,TRUE
"2010-03-01",208.990004,532.689989,29.02,TRUE
"2010-03-02",208.85,541.060029,28.459999,FALSE
"2010-03-03",209.329998,545.319986,28.459999,TRUE
"2010-03-04",210.710003,554.590004,28.629999,TRUE
"2010-03-05",218.950005,564.210013,28.59,TRUE
"2010-03-08",219.079994,562.479994,28.629999,TRUE
"2010-03-09",223.020004,560.189989,28.799999,TRUE
"2010-03-10",224.839993,576.450019,28.969999,TRUE
"2010-03-11",225.500008,581.140026,29.18,TRUE
"2010-03-12",226.600006,579.540005,29.27,TRUE
"2010-03-15",223.839996,563.179977,29.290001,FALSE
"2010-03-16",224.449997,565.199989,29.370001,TRUE
"2010-03-17",224.120003,565.55998,29.629999,FALSE
"2010-03-18",224.650002,566.40002,29.610001,TRUE
"2010-03-19",222.25,559.999994,29.59,FALSE
"2010-03-22",224.750004,557.499994,29.6,TRUE
"2010-03-23",228.359993,549.000018,29.879999,TRUE
"2010-03-24",229.370003,557.329998,29.65,TRUE
"2010-03-25",226.649994,562.879984,30.01,FALSE
"2010-03-26",230.899998,562.689989,29.66,TRUE
"2010-03-29",232.389992,562.449995,29.59,TRUE
"2010-03-30",235.849991,566.710013,29.77,TRUE
"2010-03-31",235.000011,567.120003,29.290001,FALSE
"2010-04-01",235.969994,568.800023,29.16,TRUE
"2010-04-05",238.489998,571.01003,29.27,TRUE
"2010-04-06",239.540009,568.219976,29.32,TRUE
"2010-04-07",240.600006,563.540029,29.35,TRUE
"2010-04-08",239.950005,567.489994,29.92,FALSE
"2010-04-09",241.789993,566.220025,30.34,TRUE
"2010-04-12",242.290005,572.729988,30.32,TRUE
"2010-04-13",242.430008,586.770011,30.450001,TRUE
"2010-04-14",245.690002,589.000018,30.82,TRUE
"2010-04-15",248.92001,595.299986,30.870001,TRUE
"2010-04-16",247.400002,550.14999,30.67,FALSE
"2010-04-19",247.070007,550.099991,31.040001,FALSE
"2010-04-20",244.590004,555.039993,31.360001,FALSE
"2010-04-21",259.220005,554.300011,31.33,TRUE
"2010-04-22",266.469997,547.060004,31.389999,TRUE
"2010-04-23",270.82999,544.989994,30.959999,TRUE
"2010-04-26",269.5,531.640015,31.110001,FALSE
"2010-04-27",262.039989,529.060017,30.85,FALSE
"2010-04-28",261.600006,529.190014,30.91,FALSE
"2010-04-29",268.640007,532.000006,31,TRUE
"2010-04-30",261.090008,525.699977,30.540001,FALSE
"2010-05-03",266.349995,530.60004,30.860001,TRUE
"2010-05-04",258.679993,506.370022,30.129999,FALSE
"2010-05-05",255.989998,509.76003,29.85,FALSE
"2010-05-06",246.249989,498.669996,28.98,FALSE
"2010-05-07",235.860004,493.140009,28.209999,FALSE
"2010-05-10",253.990005,521.650015,28.940001,TRUE
"2010-05-11",256.519997,509.050017,28.879999,TRUE
"2010-05-12",262.090004,505.390015,29.440001,TRUE
"2010-05-13",258.360012,510.880003,29.24,FALSE
"2010-05-14",253.819988,507.529993,28.93,FALSE
"2010-05-17",254.219997,507.970013,28.940001,TRUE
"2010-05-18",252.360008,498.370004,28.6,FALSE
"2010-05-19",248.339996,494.430008,28.24,FALSE
"2010-05-20",237.759995,475.009994,27.110001,FALSE
"2010-05-21",242.319992,472.050006,26.84,TRUE
"2010-05-24",246.759987,477.160003,26.27,TRUE
"2010-05-25",245.220005,477.070005,26.07,FALSE
"2010-05-26",244.109993,475.470014,25.01,FALSE
"2010-05-27",253.349991,490.460014,26,TRUE
"2010-05-28",256.880005,485.63001,25.799999,TRUE
"2010-06-01",260.830002,482.370028,25.889999,TRUE
"2010-06-02",263.949993,493.370004,26.459999,TRUE
"2010-06-03",263.119987,505.60001,26.860001,FALSE
"2010-06-04",255.960011,498.719995,25.790001,FALSE
"2010-06-07",250.940002,485.520012,25.290001,FALSE
"2010-06-08",249.330006,484.78,25.110001,FALSE
"2010-06-09",243.200012,474.020018,24.790001,FALSE
"2010-06-10",250.510006,487.010006,25,TRUE
"2010-06-11",253.509995,488.5,25.66,TRUE
"2010-06-14",254.279999,483.190008,25.5,TRUE
"2010-06-15",259.690002,497.990013,26.58,TRUE
"2010-06-16",267.249989,501.270024,26.32,TRUE
